path,label,method,identity,domain,video
/Users/pickapu/Documents/PyCharmMiscProject/deepfake-ViT/test_data_v3/uniface/fake/uniface__896__273.png,1,uniface,ffc:896,ffc,896_128
/Users/pickapu/Documents/PyCharmMiscProject/deepfake-ViT/test_data_v3/DiT/fake/DiT__896__18370.png,1,DiT,ffc:896,ffc,ff:896
/Users/pickapu/Documents/PyCharmMiscProject/deepfake-ViT/test_data_v3/RDDM/fake/RDDM__896__sample-20598.png,1,RDDM,ffc:896,ffc,ff:896
/Users/pickapu/Documents/PyCharmMiscProject/deepfake-ViT/test_data_v3/SiT/fake/SiT__896__18370.png,1,SiT,ffc:896,ffc,ff:896
/Users/pickapu/Documents/PyCharmMiscProject/deepfake-ViT/test_data_v3/pixart/fake/pixart__896__337_021.png,1,pixart,ffc:896,ffc,ff:896
/Users/pickapu/Documents/PyCharmMiscProject/deepfake-ViT/test_data_v3/sd2.1/fake/sd2.1__896__337_021.png,1,sd2.1,ffc:896,ffc,ff:896
/Users/pickapu/Documents/PyCharmMiscProject/deepfake-ViT/test_data_v3/e4e/fake/e4e__896__28675.jpg,1,e4e,ffc:896,ffc,ff:896
/Users/pickapu/Documents/PyCharmMiscProject/deepfake-ViT/test_data_v3/mobileswap/fake/mobileswap__896__273.png,1,mobileswap,ffc:896,ffc,896_128
/Users/pickapu/Documents/PyCharmMiscProject/deepfake-ViT/test_data_v3/danet/fake/danet__danet_id33_id29_0004__000.png,1,danet,oth:danet:id33_id29_0004,oth,id33_id29_0004
/Users/pickapu/Documents/PyCharmMiscProject/deepfake-ViT/test_data_v3/DiT/fake/DiT__DiT_id43_0009__2566.png,1,DiT,oth:DiT:id43_0009,oth,id43_0009
/Users/pickapu/Documents/PyCharmMiscProject/deepfake-ViT/test_data_v3/starganv2/fake/starganv2__starganv2_224__224.jpg,1,starganv2,fe:starganv2:224,fe,224
/Users/pickapu/Documents/PyCharmMiscProject/deepfake-ViT/test_data_v3/pixart/fake/pixart__pixart_id5_0008__Celeb-real_id28_0005_042.png,1,pixart,oth:pixart:id5_0008,oth,id5_0008
/Users/pickapu/Documents/PyCharmMiscProject/deepfake-ViT/test_data_v3/StyleGANXL/fake/StyleGANXL__StyleGANXL_Fake_from_Celeb-real_id8_0007__seed20528.png,1,StyleGANXL,efs:StyleGANXL:Fake_from_Celeb-real:id8_0007,efs,Fake_from_Celeb-real:id8_0007
/Users/pickapu/Documents/PyCharmMiscProject/deepfake-ViT/test_data_v3/MRAA/fake/MRAA__MRAA_id35_id26_0003__000.png,1,MRAA,oth:MRAA:id35_id26_0003,oth,id35_id26_0003
/Users/pickapu/Documents/PyCharmMiscProject/deepfake-ViT/test_data_v3/whichfaceisreal/fake/whichfaceisreal__whichfaceisreal_802.png__802.png,1,whichfaceisreal,efs:whichfaceisreal:802.png,efs,802.png
/Users/pickapu/Documents/PyCharmMiscProject/deepfake-ViT/test_data_v3/mobileswap/fake/mobileswap__mobileswap_id6_id4_0008__000.png,1,mobileswap,oth:mobileswap:id6_id4_0008,oth,id6_id4_0008
/Users/pickapu/Documents/PyCharmMiscProject/deepfake-ViT/test_data_v3/lia/fake/lia__lia_id30_id29_0000__000.png,1,lia,oth:lia:id30_id29_0000,oth,id30_id29_0000
/Users/pickapu/Documents/PyCharmMiscProject/deepfake-ViT/test_data_v3/simswap/fake/simswap__simswap_id30_id3_0006__000.png,1,simswap,oth:simswap:id30_id3_0006,oth,id30_id3_0006
/Users/pickapu/Documents/PyCharmMiscProject/deepfake-ViT/test_data_v3/hyperreenact/fake/hyperreenact__hyperreenact_id4_id1_0003__000.png,1,hyperreenact,oth:hyperreenact:id4_id1_0003,oth,id4_id1_0003
/Users/pickapu/Documents/PyCharmMiscProject/deepfake-ViT/test_data_v3/StyleGAN3/fake/StyleGAN3__StyleGAN3_Fake_from_Celeb-real_id26_0005__seed18310.png,1,StyleGAN3,efs:StyleGAN3:Fake_from_Celeb-real:id26_0005,efs,Fake_from_Celeb-real:id26_0005
/Users/pickapu/Documents/PyCharmMiscProject/deepfake-ViT/test_data_v3/simswap/fake/simswap__simswap_id56_id54_0006__000.png,1,simswap,oth:simswap:id56_id54_0006,oth,id56_id54_0006
/Users/pickapu/Documents/PyCharmMiscProject/deepfake-ViT/test_data_v3/StyleGAN3/fake/StyleGAN3__StyleGAN3_Fake_from_Celeb-real_id51_0003__seed22190.png,1,StyleGAN3,efs:StyleGAN3:Fake_from_Celeb-real:id51_0003,efs,Fake_from_Celeb-real:id51_0003
/Users/pickapu/Documents/PyCharmMiscProject/deepfake-ViT/test_data_v3/DiT/fake/DiT__DiT_id20_0009__22793.png,1,DiT,oth:DiT:id20_0009,oth,id20_0009
/Users/pickapu/Documents/PyCharmMiscProject/deepfake-ViT/test_data_v3/stargan/fake/stargan__stargan_1672__1672.jpg,1,stargan,fe:stargan:1672,fe,1672
/Users/pickapu/Documents/PyCharmMiscProject/deepfake-ViT/test_data_v3/styleclip/fake/styleclip__styleclip_00275__00275.jpg,1,styleclip,fe:styleclip:00275,fe,00275
/Users/pickapu/Documents/PyCharmMiscProject/deepfake-ViT/test_data_v3/MidJourney/fake/MidJourney__MidJourney_13592447708_Single_person_white_female_looking_at_the_camera_fa_2a3f3bf7-e5d3-404c-86b3-e1ad98a1cfbc.png__13592447708_Single_person_white_female_looking_at_the_camera_fa_2a3f3bf7-e5d3-404c-86b3-e1ad98a1cfbc.png,1,MidJourney,efs:MidJourney:13592447708_Single_person_white_female_looking_at_the_camera_fa_2a3f3bf7-e5d3-404c-86b3-e1ad98a1cfbc.png,efs,13592447708_Single_person_white_female_looking_at_the_camera_fa_2a3f3bf7-e5d3-404c-86b3-e1ad98a1cfbc.png
/Users/pickapu/Documents/PyCharmMiscProject/deepfake-ViT/test_data_v3/SiT/fake/SiT__SiT_id57_0000__2526.png,1,SiT,oth:SiT:id57_0000,oth,id57_0000
/Users/pickapu/Documents/PyCharmMiscProject/deepfake-ViT/test_data_v3/mobileswap/fake/mobileswap__mobileswap_id41_id44_0005__000.png,1,mobileswap,oth:mobileswap:id41_id44_0005,oth,id41_id44_0005
/Users/pickapu/Documents/PyCharmMiscProject/deepfake-ViT/test_data_v3/StyleGAN3/fake/StyleGAN3__StyleGAN3_Fake_from_Celeb-real_id52_0001__seed21478.png,1,StyleGAN3,efs:StyleGAN3:Fake_from_Celeb-real:id52_0001,efs,Fake_from_Celeb-real:id52_0001
/Users/pickapu/Documents/PyCharmMiscProject/deepfake-ViT/test_data_v3/styleclip/fake/styleclip__styleclip_02333__02333.jpg,1,styleclip,fe:styleclip:02333,fe,02333
/Users/pickapu/Documents/PyCharmMiscProject/deepfake-ViT/test_data_v3/pixart/fake/pixart__pixart_id2_0003__Celeb-real_id23_0006_080.png,1,pixart,oth:pixart:id2_0003,oth,id2_0003
/Users/pickapu/Documents/PyCharmMiscProject/deepfake-ViT/test_data_v3/facedancer/fake/facedancer__facedancer_id2_id17_0007__000.png,1,facedancer,oth:facedancer:id2_id17_0007,oth,id2_id17_0007
/Users/pickapu/Documents/PyCharmMiscProject/deepfake-ViT/test_data_v3/blendface/fake/blendface__blendface_id23_id35_0009__000.png,1,blendface,oth:blendface:id23_id35_0009,oth,id23_id35_0009
/Users/pickapu/Documents/PyCharmMiscProject/deepfake-ViT/test_data_v3/sd2.1/fake/sd2.1__sd2.1_00109__YouTube-real_00079_335.png,1,sd2.1,oth:sd2.1:00109,oth,00109
/Users/pickapu/Documents/PyCharmMiscProject/deepfake-ViT/test_data_v3/fsgan/fake/fsgan__fsgan_id23_id35_0006__000.png,1,fsgan,oth:fsgan:id23_id35_0006,oth,id23_id35_0006
/Users/pickapu/Documents/PyCharmMiscProject/deepfake-ViT/test_data_v3/facevid2vid/fake/facevid2vid__facevid2vid_id27_id22_0001__000.png,1,facevid2vid,oth:facevid2vid:id27_id22_0001,oth,id27_id22_0001
/Users/pickapu/Documents/PyCharmMiscProject/deepfake-ViT/test_data_v3/CollabDiff/fake/CollabDiff__CollabDiff_888__000000_x_0.png,1,CollabDiff,efs:CollabDiff:888,efs,888
/Users/pickapu/Documents/PyCharmMiscProject/deepfake-ViT/test_data_v3/MRAA/fake/MRAA__MRAA_id2_id9_0006__000.png,1,MRAA,oth:MRAA:id2_id9_0006,oth,id2_id9_0006
/Users/pickapu/Documents/PyCharmMiscProject/deepfake-ViT/test_data_v3/pixart/fake/pixart__pixart_id20_0004__YouTube-real_00155_055.png,1,pixart,oth:pixart:id20_0004,oth,id20_0004
/Users/pickapu/Documents/PyCharmMiscProject/deepfake-ViT/test_data_v3/heygen/fake/heygen__heygen_32__255.png,1,heygen,efs:heygen:32,efs,32
/Users/pickapu/Documents/PyCharmMiscProject/deepfake-ViT/test_data_v3/sadtalker/fake/sadtalker__sadtalker_id28_2j00U6lUCSc_50011_0001__000.png,1,sadtalker,oth:sadtalker:id28_2j00U6lUCSc_50011_0001,oth,id28_2j00U6lUCSc_50011_0001
/Users/pickapu/Documents/PyCharmMiscProject/deepfake-ViT/test_data_v3/mobileswap/fake/mobileswap__mobileswap_id35_id23_0009__000.png,1,mobileswap,oth:mobileswap:id35_id23_0009,oth,id35_id23_0009
/Users/pickapu/Documents/PyCharmMiscProject/deepfake-ViT/test_data_v3/StyleGANXL/fake/StyleGANXL__StyleGANXL_Fake_from_Celeb-real_id5_0000__seed24335.png,1,StyleGANXL,efs:StyleGANXL:Fake_from_Celeb-real:id5_0000,efs,Fake_from_Celeb-real:id5_0000
/Users/pickapu/Documents/PyCharmMiscProject/deepfake-ViT/test_data_v3/DiT/fake/DiT__DiT_id27_0002__22542.png,1,DiT,oth:DiT:id27_0002,oth,id27_0002
/Users/pickapu/Documents/PyCharmMiscProject/deepfake-ViT/test_data_v3/sadtalker/fake/sadtalker__sadtalker_id22_BN9a8Ldy7Xc_50005_0007__000.png,1,sadtalker,oth:sadtalker:id22_BN9a8Ldy7Xc_50005_0007,oth,id22_BN9a8Ldy7Xc_50005_0007
/Users/pickapu/Documents/PyCharmMiscProject/deepfake-ViT/test_data_v3/StyleGANXL/fake/StyleGANXL__StyleGANXL_Fake_from_Celeb-real_id40_0009__seed18560.png,1,StyleGANXL,efs:StyleGANXL:Fake_from_Celeb-real:id40_0009,efs,Fake_from_Celeb-real:id40_0009
/Users/pickapu/Documents/PyCharmMiscProject/deepfake-ViT/test_data_v3/StyleGAN2/fake/StyleGAN2__StyleGAN2_00067__seed23297.png,1,StyleGAN2,efs:StyleGAN2:00067,efs,00067
/Users/pickapu/Documents/PyCharmMiscProject/deepfake-ViT/test_data_v3/real/real__941__254.png,0,real,ffc:941,ffc,941
/Users/pickapu/Documents/PyCharmMiscProject/deepfake-ViT/test_data_v3/sd2.1/fake/sd2.1__941__581_331.png,1,sd2.1,ffc:941,ffc,ff:941
/Users/pickapu/Documents/PyCharmMiscProject/deepfake-ViT/test_data_v3/e4e/fake/e4e__941__30115.jpg,1,e4e,ffc:941,ffc,ff:941
/Users/pickapu/Documents/PyCharmMiscProject/deepfake-ViT/test_data_v3/mobileswap/fake/mobileswap__941__254.png,1,mobileswap,ffc:941,ffc,941_940
/Users/pickapu/Documents/PyCharmMiscProject/deepfake-ViT/test_data_v3/pixart/fake/pixart__pixart_id50_0000__YouTube-real_00056_309.png,1,pixart,oth:pixart:id50_0000,oth,id50_0000
/Users/pickapu/Documents/PyCharmMiscProject/deepfake-ViT/test_data_v3/styleclip/fake/styleclip__styleclip_01605__01605.jpg,1,styleclip,fe:styleclip:01605,fe,01605
/Users/pickapu/Documents/PyCharmMiscProject/deepfake-ViT/test_data_v3/StyleGANXL/fake/StyleGANXL__StyleGANXL_Fake_from_Youtube-real_00168__seed16024.png,1,StyleGANXL,efs:StyleGANXL:Fake_from_Youtube-real:00168,efs,Fake_from_Youtube-real:00168
/Users/pickapu/Documents/PyCharmMiscProject/deepfake-ViT/test_data_v3/StyleGAN3/fake/StyleGAN3__StyleGAN3_Fake_from_Celeb-real_id23_0008__seed23118.png,1,StyleGAN3,efs:StyleGAN3:Fake_from_Celeb-real:id23_0008,efs,Fake_from_Celeb-real:id23_0008
/Users/pickapu/Documents/PyCharmMiscProject/deepfake-ViT/test_data_v3/pixart/fake/pixart__pixart_id38_0005__Celeb-real_id29_0001_299.png,1,pixart,oth:pixart:id38_0005,oth,id38_0005
/Users/pickapu/Documents/PyCharmMiscProject/deepfake-ViT/test_data_v3/whichfaceisreal/fake/whichfaceisreal__whichfaceisreal_327.png__327.png,1,whichfaceisreal,efs:whichfaceisreal:327.png,efs,327.png
/Users/pickapu/Documents/PyCharmMiscProject/deepfake-ViT/test_data_v3/whichfaceisreal/fake/whichfaceisreal__whichfaceisreal_568.png__568.png,1,whichfaceisreal,efs:whichfaceisreal:568.png,efs,568.png
/Users/pickapu/Documents/PyCharmMiscProject/deepfake-ViT/test_data_v3/facevid2vid/fake/facevid2vid__facevid2vid_id56_id55_0009__000.png,1,facevid2vid,oth:facevid2vid:id56_id55_0009,oth,id56_id55_0009
/Users/pickapu/Documents/PyCharmMiscProject/deepfake-ViT/test_data_v3/sadtalker/fake/sadtalker__sadtalker_id31_501FEzbB1JI_50015_0007__000.png,1,sadtalker,oth:sadtalker:id31_501FEzbB1JI_50015_0007,oth,id31_501FEzbB1JI_50015_0007
/Users/pickapu/Documents/PyCharmMiscProject/deepfake-ViT/test_data_v3/SiT/fake/SiT__SiT_id37_0008__24866.png,1,SiT,oth:SiT:id37_0008,oth,id37_0008
/Users/pickapu/Documents/PyCharmMiscProject/deepfake-ViT/test_data_v3/styleclip/fake/styleclip__styleclip_01328__01328.jpg,1,styleclip,fe:styleclip:01328,fe,01328
/Users/pickapu/Documents/PyCharmMiscProject/deepfake-ViT/test_data_v3/StyleGAN3/fake/StyleGAN3__StyleGAN3_Fake_from_Youtube-real_00026__seed22996.png,1,StyleGAN3,efs:StyleGAN3:Fake_from_Youtube-real:00026,efs,Fake_from_Youtube-real:00026
/Users/pickapu/Documents/PyCharmMiscProject/deepfake-ViT/test_data_v3/VQGAN/fake/VQGAN__VQGAN_00101__012686.png,1,VQGAN,efs:VQGAN:00101,efs,00101
/Users/pickapu/Documents/PyCharmMiscProject/deepfake-ViT/test_data_v3/StyleGANXL/fake/StyleGANXL__StyleGANXL_Fake_from_Youtube-real_00194__seed23656.png,1,StyleGANXL,efs:StyleGANXL:Fake_from_Youtube-real:00194,efs,Fake_from_Youtube-real:00194
/Users/pickapu/Documents/PyCharmMiscProject/deepfake-ViT/test_data_v3/one_shot_free/fake/one_shot_free__one_shot_free_id50_id56_0005__000.png,1,one_shot_free,oth:one_shot_free:id50_id56_0005,oth,id50_id56_0005
/Users/pickapu/Documents/PyCharmMiscProject/deepfake-ViT/test_data_v3/simswap/fake/simswap__simswap_id17_id23_0009__000.png,1,simswap,oth:simswap:id17_id23_0009,oth,id17_id23_0009
/Users/pickapu/Documents/PyCharmMiscProject/deepfake-ViT/test_data_v3/ddim/fake/ddim__ddim_id1_0009__Celeb-real_id16_0008_075.png,1,ddim,efs:ddim:id1_0009,efs,id1_0009
/Users/pickapu/Documents/PyCharmMiscProject/deepfake-ViT/test_data_v3/starganv2/fake/starganv2__starganv2_1699__1699.jpg,1,starganv2,fe:starganv2:1699,fe,1699
/Users/pickapu/Documents/PyCharmMiscProject/deepfake-ViT/test_data_v3/DiT/fake/DiT__DiT_id60_0007__2484.png,1,DiT,oth:DiT:id60_0007,oth,id60_0007
/Users/pickapu/Documents/PyCharmMiscProject/deepfake-ViT/test_data_v3/StyleGANXL/fake/StyleGANXL__StyleGANXL_Fake_from_Celeb-real_id17_0002__seed23726.png,1,StyleGANXL,efs:StyleGANXL:Fake_from_Celeb-real:id17_0002,efs,Fake_from_Celeb-real:id17_0002
/Users/pickapu/Documents/PyCharmMiscProject/deepfake-ViT/test_data_v3/pirender/fake/pirender__pirender_id23_id30_0002__000.png,1,pirender,oth:pirender:id23_id30_0002,oth,id23_id30_0002
/Users/pickapu/Documents/PyCharmMiscProject/deepfake-ViT/test_data_v3/one_shot_free/fake/one_shot_free__one_shot_free_id21_id20_0006__000.png,1,one_shot_free,oth:one_shot_free:id21_id20_0006,oth,id21_id20_0006
/Users/pickapu/Documents/PyCharmMiscProject/deepfake-ViT/test_data_v3/ddim/fake/ddim__ddim_id25_0008__Celeb-real_id22_0009_331.png,1,ddim,efs:ddim:id25_0008,efs,id25_0008
/Users/pickapu/Documents/PyCharmMiscProject/deepfake-ViT/test_data_v3/stargan/fake/stargan__stargan_1486__1486.jpg,1,stargan,fe:stargan:1486,fe,1486
/Users/pickapu/Documents/PyCharmMiscProject/deepfake-ViT/test_data_v3/starganv2/fake/starganv2__starganv2_1235__1235.jpg,1,starganv2,fe:starganv2:1235,fe,1235
/Users/pickapu/Documents/PyCharmMiscProject/deepfake-ViT/test_data_v3/sadtalker/fake/sadtalker__sadtalker_id13_4mFzIumKKsc_50005_0005__000.png,1,sadtalker,oth:sadtalker:id13_4mFzIumKKsc_50005_0005,oth,id13_4mFzIumKKsc_50005_0005
/Users/pickapu/Documents/PyCharmMiscProject/deepfake-ViT/test_data_v3/StyleGAN2/fake/StyleGAN2__StyleGAN2_id6_0001__seed6871.png,1,StyleGAN2,efs:StyleGAN2:id6_0001,efs,id6_0001
/Users/pickapu/Documents/PyCharmMiscProject/deepfake-ViT/test_data_v3/SiT/fake/SiT__SiT_id41_0005__23226.png,1,SiT,oth:SiT:id41_0005,oth,id41_0005
/Users/pickapu/Documents/PyCharmMiscProject/deepfake-ViT/test_data_v3/facedancer/fake/facedancer__facedancer_id4_id1_0002__000.png,1,facedancer,oth:facedancer:id4_id1_0002,oth,id4_id1_0002
/Users/pickapu/Documents/PyCharmMiscProject/deepfake-ViT/test_data_v3/stargan/fake/stargan__stargan_751__751.jpg,1,stargan,fe:stargan:751,fe,751
/Users/pickapu/Documents/PyCharmMiscProject/deepfake-ViT/test_data_v3/heygen/fake/heygen__heygen_37__305.png,1,heygen,efs:heygen:37,efs,37
/Users/pickapu/Documents/PyCharmMiscProject/deepfake-ViT/test_data_v3/DiT/fake/DiT__DiT_id58_0006__3074.png,1,DiT,oth:DiT:id58_0006,oth,id58_0006
/Users/pickapu/Documents/PyCharmMiscProject/deepfake-ViT/test_data_v3/facevid2vid/fake/facevid2vid__facevid2vid_id32_id31_0008__000.png,1,facevid2vid,oth:facevid2vid:id32_id31_0008,oth,id32_id31_0008
/Users/pickapu/Documents/PyCharmMiscProject/deepfake-ViT/test_data_v3/SiT/fake/SiT__SiT_id45_0007__22348.png,1,SiT,oth:SiT:id45_0007,oth,id45_0007
/Users/pickapu/Documents/PyCharmMiscProject/deepfake-ViT/test_data_v3/MRAA/fake/MRAA__MRAA_id28_id3_0004__000.png,1,MRAA,oth:MRAA:id28_id3_0004,oth,id28_id3_0004
/Users/pickapu/Documents/PyCharmMiscProject/deepfake-ViT/test_data_v3/CollabDiff/fake/CollabDiff__CollabDiff_662__000000_x_0.png,1,CollabDiff,efs:CollabDiff:662,efs,662
/Users/pickapu/Documents/PyCharmMiscProject/deepfake-ViT/test_data_v3/MidJourney/fake/MidJourney__MidJourney_13592447708_Clean_East_Asian_female_face_face_only_shown_face_c_8f7d1e02-df93-48ba-baa6-d3bc9e7c5da8.png__13592447708_Clean_East_Asian_female_face_face_only_shown_face_c_8f7d1e02-df93-48ba-baa6-d3bc9e7c5da8.png,1,MidJourney,efs:MidJourney:13592447708_Clean_East_Asian_female_face_face_only_shown_face_c_8f7d1e02-df93-48ba-baa6-d3bc9e7c5da8.png,efs,13592447708_Clean_East_Asian_female_face_face_only_shown_face_c_8f7d1e02-df93-48ba-baa6-d3bc9e7c5da8.png
/Users/pickapu/Documents/PyCharmMiscProject/deepfake-ViT/test_data_v3/real/real__390__417.png,0,real,ffc:390,ffc,390
/Users/pickapu/Documents/PyCharmMiscProject/deepfake-ViT/test_data_v3/sd2.1/fake/sd2.1__390__626_911.png,1,sd2.1,ffc:390,ffc,ff:390
/Users/pickapu/Documents/PyCharmMiscProject/deepfake-ViT/test_data_v3/e4e/fake/e4e__390__12493.jpg,1,e4e,ffc:390,ffc,ff:390
/Users/pickapu/Documents/PyCharmMiscProject/deepfake-ViT/test_data_v3/mobileswap/fake/mobileswap__390__417.png,1,mobileswap,ffc:390,ffc,390_709
/Users/pickapu/Documents/PyCharmMiscProject/deepfake-ViT/test_data_v3/MidJourney/fake/MidJourney__MidJourney_13592447708_Single_person_black_male_looking_at_the_camera_faci_3e9239ca-d5dc-4306-9764-bc802eb9aff8.png__13592447708_Single_person_black_male_looking_at_the_camera_faci_3e9239ca-d5dc-4306-9764-bc802eb9aff8.png,1,MidJourney,efs:MidJourney:13592447708_Single_person_black_male_looking_at_the_camera_faci_3e9239ca-d5dc-4306-9764-bc802eb9aff8.png,efs,13592447708_Single_person_black_male_looking_at_the_camera_faci_3e9239ca-d5dc-4306-9764-bc802eb9aff8.png
/Users/pickapu/Documents/PyCharmMiscProject/deepfake-ViT/test_data_v3/tpsm/fake/tpsm__tpsm_id17_id26_0006__000.png,1,tpsm,oth:tpsm:id17_id26_0006,oth,id17_id26_0006
/Users/pickapu/Documents/PyCharmMiscProject/deepfake-ViT/test_data_v3/styleclip/fake/styleclip__styleclip_01987__01987.jpg,1,styleclip,fe:styleclip:01987,fe,01987
/Users/pickapu/Documents/PyCharmMiscProject/deepfake-ViT/test_data_v3/facevid2vid/fake/facevid2vid__facevid2vid_id40_id42_0001__000.png,1,facevid2vid,oth:facevid2vid:id40_id42_0001,oth,id40_id42_0001
/Users/pickapu/Documents/PyCharmMiscProject/deepfake-ViT/test_data_v3/wav2lip/fake/wav2lip__wav2lip_id17_0006_796LfXwzIUk_50016__000.png,1,wav2lip,oth:wav2lip:id17_0006_796LfXwzIUk_50016,oth,id17_0006_796LfXwzIUk_50016
/Users/pickapu/Documents/PyCharmMiscProject/deepfake-ViT/test_data_v3/stargan/fake/stargan__stargan_484__484.jpg,1,stargan,fe:stargan:484,fe,484
/Users/pickapu/Documents/PyCharmMiscProject/deepfake-ViT/test_data_v3/fsgan/fake/fsgan__fsgan_id0_id16_0003__000.png,1,fsgan,oth:fsgan:id0_id16_0003,oth,id0_id16_0003
/Users/pickapu/Documents/PyCharmMiscProject/deepfake-ViT/test_data_v3/RDDM/fake/RDDM__RDDM_id42_0004__sample-19481.png,1,RDDM,oth:RDDM:id42_0004,oth,id42_0004
