path,label,method,identity,domain,video
/Users/pickapu/Documents/PyCharmMiscProject/deepfake-ViT/test_data_v3/StyleGANXL/fake/StyleGANXL__StyleGANXL_Fake_from_Youtube-real_00256__seed21858.png,1,StyleGANXL,efs:StyleGANXL:Fake_from_Youtube-real:00256,efs,Fake_from_Youtube-real:00256
/Users/pickapu/Documents/PyCharmMiscProject/deepfake-ViT/test_data_v3/stargan/fake/stargan__stargan_249__249.jpg,1,stargan,fe:stargan:249,fe,249
/Users/pickapu/Documents/PyCharmMiscProject/deepfake-ViT/test_data_v3/sd2.1/fake/sd2.1__sd2.1_id3_0005__YouTube-real_00163_122.png,1,sd2.1,oth:sd2.1:id3_0005,oth,id3_0005
/Users/pickapu/Documents/PyCharmMiscProject/deepfake-ViT/test_data_v3/faceswap/fake/faceswap__faceswap_id28_id26_0002__000.png,1,faceswap,oth:faceswap:id28_id26_0002,oth,id28_id26_0002
/Users/pickapu/Documents/PyCharmMiscProject/deepfake-ViT/test_data_v3/blendface/fake/blendface__blendface_id28_id0_0009__000.png,1,blendface,oth:blendface:id28_id0_0009,oth,id28_id0_0009
/Users/pickapu/Documents/PyCharmMiscProject/deepfake-ViT/test_data_v3/real/real__252__294.png,0,real,ffc:252,ffc,252
/Users/pickapu/Documents/PyCharmMiscProject/deepfake-ViT/test_data_v3/e4e/fake/e4e__252__08080.jpg,1,e4e,ffc:252,ffc,ff:252
/Users/pickapu/Documents/PyCharmMiscProject/deepfake-ViT/test_data_v3/mobileswap/fake/mobileswap__252__294.png,1,mobileswap,ffc:252,ffc,252_266
/Users/pickapu/Documents/PyCharmMiscProject/deepfake-ViT/test_data_v3/hyperreenact/fake/hyperreenact__hyperreenact_id21_id30_0005__000.png,1,hyperreenact,oth:hyperreenact:id21_id30_0005,oth,id21_id30_0005
/Users/pickapu/Documents/PyCharmMiscProject/deepfake-ViT/test_data_v3/blendface/fake/blendface__blendface_id45_id46_0001__000.png,1,blendface,oth:blendface:id45_id46_0001,oth,id45_id46_0001
/Users/pickapu/Documents/PyCharmMiscProject/deepfake-ViT/test_data_v3/StyleGAN3/fake/StyleGAN3__StyleGAN3_Fake_from_Youtube-real_00099__seed1655.png,1,StyleGAN3,efs:StyleGAN3:Fake_from_Youtube-real:00099,efs,Fake_from_Youtube-real:00099
/Users/pickapu/Documents/PyCharmMiscProject/deepfake-ViT/test_data_v3/SiT/fake/SiT__SiT_id47_0003__22029.png,1,SiT,oth:SiT:id47_0003,oth,id47_0003
/Users/pickapu/Documents/PyCharmMiscProject/deepfake-ViT/test_data_v3/tpsm/fake/tpsm__tpsm_id24_id25_0003__000.png,1,tpsm,oth:tpsm:id24_id25_0003,oth,id24_id25_0003
/Users/pickapu/Documents/PyCharmMiscProject/deepfake-ViT/test_data_v3/sd2.1/fake/sd2.1__sd2.1_id42_0004__Celeb-real_id56_0001_418.png,1,sd2.1,oth:sd2.1:id42_0004,oth,id42_0004
/Users/pickapu/Documents/PyCharmMiscProject/deepfake-ViT/test_data_v3/pixart/fake/pixart__pixart_id31_0002__YouTube-real_00169_222.png,1,pixart,oth:pixart:id31_0002,oth,id31_0002
/Users/pickapu/Documents/PyCharmMiscProject/deepfake-ViT/test_data_v3/pixart/fake/pixart__pixart_id31_0007__YouTube-real_00206_380.png,1,pixart,oth:pixart:id31_0007,oth,id31_0007
/Users/pickapu/Documents/PyCharmMiscProject/deepfake-ViT/test_data_v3/facedancer/fake/facedancer__facedancer_id6_id1_0005__000.png,1,facedancer,oth:facedancer:id6_id1_0005,oth,id6_id1_0005
/Users/pickapu/Documents/PyCharmMiscProject/deepfake-ViT/test_data_v3/sd2.1/fake/sd2.1__sd2.1_id12_0000__YouTube-real_00123_048.png,1,sd2.1,oth:sd2.1:id12_0000,oth,id12_0000
/Users/pickapu/Documents/PyCharmMiscProject/deepfake-ViT/test_data_v3/tpsm/fake/tpsm__tpsm_id17_id3_0000__000.png,1,tpsm,oth:tpsm:id17_id3_0000,oth,id17_id3_0000
/Users/pickapu/Documents/PyCharmMiscProject/deepfake-ViT/test_data_v3/whichfaceisreal/fake/whichfaceisreal__whichfaceisreal_103.png__103.png,1,whichfaceisreal,efs:whichfaceisreal:103.png,efs,103.png
/Users/pickapu/Documents/PyCharmMiscProject/deepfake-ViT/test_data_v3/styleclip/fake/styleclip__styleclip_01860__01860.jpg,1,styleclip,fe:styleclip:01860,fe,01860
/Users/pickapu/Documents/PyCharmMiscProject/deepfake-ViT/test_data_v3/real/real__id44_0003__176.png,0,real,cdc:id44_0003,cdc,id44_0003
/Users/pickapu/Documents/PyCharmMiscProject/deepfake-ViT/test_data_v3/DiT/fake/DiT__id44_0003__23070.png,1,DiT,cdc:id44_0003,cdc,id44_0003
/Users/pickapu/Documents/PyCharmMiscProject/deepfake-ViT/test_data_v3/RDDM/fake/RDDM__id44_0003__sample-23685.png,1,RDDM,cdc:id44_0003,cdc,id44_0003
/Users/pickapu/Documents/PyCharmMiscProject/deepfake-ViT/test_data_v3/SiT/fake/SiT__id44_0003__23070.png,1,SiT,cdc:id44_0003,cdc,id44_0003
/Users/pickapu/Documents/PyCharmMiscProject/deepfake-ViT/test_data_v3/mcnet/fake/mcnet__mcnet_id10_id13_0005__000.png,1,mcnet,oth:mcnet:id10_id13_0005,oth,id10_id13_0005
/Users/pickapu/Documents/PyCharmMiscProject/deepfake-ViT/test_data_v3/starganv2/fake/starganv2__starganv2_570__570.jpg,1,starganv2,fe:starganv2:570,fe,570
/Users/pickapu/Documents/PyCharmMiscProject/deepfake-ViT/test_data_v3/starganv2/fake/starganv2__starganv2_1272__1272.jpg,1,starganv2,fe:starganv2:1272,fe,1272
/Users/pickapu/Documents/PyCharmMiscProject/deepfake-ViT/test_data_v3/whichfaceisreal/fake/whichfaceisreal__whichfaceisreal_909.png__909.png,1,whichfaceisreal,efs:whichfaceisreal:909.png,efs,909.png
/Users/pickapu/Documents/PyCharmMiscProject/deepfake-ViT/test_data_v3/VQGAN/fake/VQGAN__VQGAN_00047__005168.png,1,VQGAN,efs:VQGAN:00047,efs,00047
/Users/pickapu/Documents/PyCharmMiscProject/deepfake-ViT/test_data_v3/ddim/fake/ddim__ddim_id27_0008__YouTube-real_00156_358.png,1,ddim,efs:ddim:id27_0008,efs,id27_0008
/Users/pickapu/Documents/PyCharmMiscProject/deepfake-ViT/test_data_v3/sd2.1/fake/sd2.1__sd2.1_id22_0004__Celeb-real_id7_0000_153.png,1,sd2.1,oth:sd2.1:id22_0004,oth,id22_0004
/Users/pickapu/Documents/PyCharmMiscProject/deepfake-ViT/test_data_v3/StyleGANXL/fake/StyleGANXL__StyleGANXL_Fake_from_Celeb-real_id24_0005__seed25720.png,1,StyleGANXL,efs:StyleGANXL:Fake_from_Celeb-real:id24_0005,efs,Fake_from_Celeb-real:id24_0005
/Users/pickapu/Documents/PyCharmMiscProject/deepfake-ViT/test_data_v3/faceswap/fake/faceswap__faceswap_id30_id38_0006__000.png,1,faceswap,oth:faceswap:id30_id38_0006,oth,id30_id38_0006
/Users/pickapu/Documents/PyCharmMiscProject/deepfake-ViT/test_data_v3/facedancer/fake/facedancer__facedancer_id21_id24_0006__000.png,1,facedancer,oth:facedancer:id21_id24_0006,oth,id21_id24_0006
/Users/pickapu/Documents/PyCharmMiscProject/deepfake-ViT/test_data_v3/MidJourney/fake/MidJourney__MidJourney_13592447708_black_male_face_face_only_face_close-up_face_close-_366d4ace-1555-4199-a0b7-65922ccd8ae7.png__13592447708_black_male_face_face_only_face_close-up_face_close-_366d4ace-1555-4199-a0b7-65922ccd8ae7.png,1,MidJourney,efs:MidJourney:13592447708_black_male_face_face_only_face_close-up_face_close-_366d4ace-1555-4199-a0b7-65922ccd8ae7.png,efs,13592447708_black_male_face_face_only_face_close-up_face_close-_366d4ace-1555-4199-a0b7-65922ccd8ae7.png
/Users/pickapu/Documents/PyCharmMiscProject/deepfake-ViT/test_data_v3/sadtalker/fake/sadtalker__sadtalker_id8_bVV2Zk88beY_50006_0003__000.png,1,sadtalker,oth:sadtalker:id8_bVV2Zk88beY_50006_0003,oth,id8_bVV2Zk88beY_50006_0003
/Users/pickapu/Documents/PyCharmMiscProject/deepfake-ViT/test_data_v3/styleclip/fake/styleclip__styleclip_01307__01307.jpg,1,styleclip,fe:styleclip:01307,fe,01307
/Users/pickapu/Documents/PyCharmMiscProject/deepfake-ViT/test_data_v3/StyleGAN3/fake/StyleGAN3__StyleGAN3_Fake_from_Celeb-real_id55_0006__seed21561.png,1,StyleGAN3,efs:StyleGAN3:Fake_from_Celeb-real:id55_0006,efs,Fake_from_Celeb-real:id55_0006
/Users/pickapu/Documents/PyCharmMiscProject/deepfake-ViT/test_data_v3/styleclip/fake/styleclip__styleclip_02155__02155.jpg,1,styleclip,fe:styleclip:02155,fe,02155
/Users/pickapu/Documents/PyCharmMiscProject/deepfake-ViT/test_data_v3/RDDM/fake/RDDM__RDDM_id50_0009__sample-22318.png,1,RDDM,oth:RDDM:id50_0009,oth,id50_0009
/Users/pickapu/Documents/PyCharmMiscProject/deepfake-ViT/test_data_v3/RDDM/fake/RDDM__RDDM_id17_0008__sample-21816.png,1,RDDM,oth:RDDM:id17_0008,oth,id17_0008
/Users/pickapu/Documents/PyCharmMiscProject/deepfake-ViT/test_data_v3/pirender/fake/pirender__pirender_id22_id27_0001__000.png,1,pirender,oth:pirender:id22_id27_0001,oth,id22_id27_0001
/Users/pickapu/Documents/PyCharmMiscProject/deepfake-ViT/test_data_v3/blendface/fake/blendface__blendface_id52_id49_0007__000.png,1,blendface,oth:blendface:id52_id49_0007,oth,id52_id49_0007
/Users/pickapu/Documents/PyCharmMiscProject/deepfake-ViT/test_data_v3/hyperreenact/fake/hyperreenact__hyperreenact_id58_id52_0005__000.png,1,hyperreenact,oth:hyperreenact:id58_id52_0005,oth,id58_id52_0005
/Users/pickapu/Documents/PyCharmMiscProject/deepfake-ViT/test_data_v3/styleclip/fake/styleclip__styleclip_01378__01378.jpg,1,styleclip,fe:styleclip:01378,fe,01378
/Users/pickapu/Documents/PyCharmMiscProject/deepfake-ViT/test_data_v3/ddim/fake/ddim__ddim_id44_0000__Celeb-real_id10_0004_382.png,1,ddim,efs:ddim:id44_0000,efs,id44_0000
/Users/pickapu/Documents/PyCharmMiscProject/deepfake-ViT/test_data_v3/starganv2/fake/starganv2__starganv2_1545__1545.jpg,1,starganv2,fe:starganv2:1545,fe,1545
/Users/pickapu/Documents/PyCharmMiscProject/deepfake-ViT/test_data_v3/MRAA/fake/MRAA__MRAA_id43_id39_0000__000.png,1,MRAA,oth:MRAA:id43_id39_0000,oth,id43_id39_0000
/Users/pickapu/Documents/PyCharmMiscProject/deepfake-ViT/test_data_v3/danet/fake/danet__danet_id1_id20_0001__000.png,1,danet,oth:danet:id1_id20_0001,oth,id1_id20_0001
/Users/pickapu/Documents/PyCharmMiscProject/deepfake-ViT/test_data_v3/MidJourney/fake/MidJourney__MidJourney_13592447708_Clean_caucasian_female_face_face_only_shown_face_cl_9c0dd1b5-0ca6-4a84-96ce-02ed75a47d1d.png__13592447708_Clean_caucasian_female_face_face_only_shown_face_cl_9c0dd1b5-0ca6-4a84-96ce-02ed75a47d1d.png,1,MidJourney,efs:MidJourney:13592447708_Clean_caucasian_female_face_face_only_shown_face_cl_9c0dd1b5-0ca6-4a84-96ce-02ed75a47d1d.png,efs,13592447708_Clean_caucasian_female_face_face_only_shown_face_cl_9c0dd1b5-0ca6-4a84-96ce-02ed75a47d1d.png
/Users/pickapu/Documents/PyCharmMiscProject/deepfake-ViT/test_data_v3/uniface/fake/uniface__uniface_id9_id23_0009__000.png,1,uniface,oth:uniface:id9_id23_0009,oth,id9_id23_0009
/Users/pickapu/Documents/PyCharmMiscProject/deepfake-ViT/test_data_v3/hyperreenact/fake/hyperreenact__hyperreenact_id28_id30_0000__000.png,1,hyperreenact,oth:hyperreenact:id28_id30_0000,oth,id28_id30_0000
/Users/pickapu/Documents/PyCharmMiscProject/deepfake-ViT/test_data_v3/pirender/fake/pirender__pirender_id23_id9_0009__000.png,1,pirender,oth:pirender:id23_id9_0009,oth,id23_id9_0009
/Users/pickapu/Documents/PyCharmMiscProject/deepfake-ViT/test_data_v3/wav2lip/fake/wav2lip__wav2lip_id5_0008_a17Z5Sk2XJY_50010__000.png,1,wav2lip,oth:wav2lip:id5_0008_a17Z5Sk2XJY_50010,oth,id5_0008_a17Z5Sk2XJY_50010
/Users/pickapu/Documents/PyCharmMiscProject/deepfake-ViT/test_data_v3/starganv2/fake/starganv2__starganv2_519__519.jpg,1,starganv2,fe:starganv2:519,fe,519
/Users/pickapu/Documents/PyCharmMiscProject/deepfake-ViT/test_data_v3/mcnet/fake/mcnet__mcnet_id4_id28_0000__000.png,1,mcnet,oth:mcnet:id4_id28_0000,oth,id4_id28_0000
/Users/pickapu/Documents/PyCharmMiscProject/deepfake-ViT/test_data_v3/wav2lip/fake/wav2lip__wav2lip_id23_0006_bSiGZPtWXzE_50070__000.png,1,wav2lip,oth:wav2lip:id23_0006_bSiGZPtWXzE_50070,oth,id23_0006_bSiGZPtWXzE_50070
/Users/pickapu/Documents/PyCharmMiscProject/deepfake-ViT/test_data_v3/ddim/fake/ddim__ddim_id0_0008__YouTube-real_00026_064.png,1,ddim,efs:ddim:id0_0008,efs,id0_0008
/Users/pickapu/Documents/PyCharmMiscProject/deepfake-ViT/test_data_v3/stargan/fake/stargan__stargan_1369__1369.jpg,1,stargan,fe:stargan:1369,fe,1369
/Users/pickapu/Documents/PyCharmMiscProject/deepfake-ViT/test_data_v3/starganv2/fake/starganv2__starganv2_932__932.jpg,1,starganv2,fe:starganv2:932,fe,932
/Users/pickapu/Documents/PyCharmMiscProject/deepfake-ViT/test_data_v3/starganv2/fake/starganv2__starganv2_613__613.jpg,1,starganv2,fe:starganv2:613,fe,613
/Users/pickapu/Documents/PyCharmMiscProject/deepfake-ViT/test_data_v3/stargan/fake/stargan__stargan_718__718.jpg,1,stargan,fe:stargan:718,fe,718
/Users/pickapu/Documents/PyCharmMiscProject/deepfake-ViT/test_data_v3/tpsm/fake/tpsm__tpsm_id6_id28_0006__000.png,1,tpsm,oth:tpsm:id6_id28_0006,oth,id6_id28_0006
/Users/pickapu/Documents/PyCharmMiscProject/deepfake-ViT/test_data_v3/CollabDiff/fake/CollabDiff__CollabDiff_968__000000_x_0.png,1,CollabDiff,efs:CollabDiff:968,efs,968
/Users/pickapu/Documents/PyCharmMiscProject/deepfake-ViT/test_data_v3/StyleGANXL/fake/StyleGANXL__StyleGANXL_Fake_from_Celeb-real_id0_0002__seed22394.png,1,StyleGANXL,efs:StyleGANXL:Fake_from_Celeb-real:id0_0002,efs,Fake_from_Celeb-real:id0_0002
/Users/pickapu/Documents/PyCharmMiscProject/deepfake-ViT/test_data_v3/stargan/fake/stargan__stargan_1914__1914.jpg,1,stargan,fe:stargan:1914,fe,1914
/Users/pickapu/Documents/PyCharmMiscProject/deepfake-ViT/test_data_v3/styleclip/fake/styleclip__styleclip_00341__00341.jpg,1,styleclip,fe:styleclip:00341,fe,00341
/Users/pickapu/Documents/PyCharmMiscProject/deepfake-ViT/test_data_v3/facedancer/fake/facedancer__facedancer_id52_id49_0005__000.png,1,facedancer,oth:facedancer:id52_id49_0005,oth,id52_id49_0005
/Users/pickapu/Documents/PyCharmMiscProject/deepfake-ViT/test_data_v3/facedancer/fake/facedancer__facedancer_id34_id35_0002__000.png,1,facedancer,oth:facedancer:id34_id35_0002,oth,id34_id35_0002
/Users/pickapu/Documents/PyCharmMiscProject/deepfake-ViT/test_data_v3/fsgan/fake/fsgan__fsgan_id16_id3_0009__000.png,1,fsgan,oth:fsgan:id16_id3_0009,oth,id16_id3_0009
/Users/pickapu/Documents/PyCharmMiscProject/deepfake-ViT/test_data_v3/pirender/fake/pirender__pirender_id26_id0_0009__000.png,1,pirender,oth:pirender:id26_id0_0009,oth,id26_id0_0009
/Users/pickapu/Documents/PyCharmMiscProject/deepfake-ViT/test_data_v3/faceswap/fake/faceswap__faceswap_id28_id3_0004__000.png,1,faceswap,oth:faceswap:id28_id3_0004,oth,id28_id3_0004
/Users/pickapu/Documents/PyCharmMiscProject/deepfake-ViT/test_data_v3/uniface/fake/uniface__uniface_id19_id21_0005__000.png,1,uniface,oth:uniface:id19_id21_0005,oth,id19_id21_0005
/Users/pickapu/Documents/PyCharmMiscProject/deepfake-ViT/test_data_v3/starganv2/fake/starganv2__starganv2_1948__1948.jpg,1,starganv2,fe:starganv2:1948,fe,1948
/Users/pickapu/Documents/PyCharmMiscProject/deepfake-ViT/test_data_v3/ddim/fake/ddim__ddim_00060__Celeb-real_id49_0009_280.png,1,ddim,efs:ddim:00060,efs,00060
/Users/pickapu/Documents/PyCharmMiscProject/deepfake-ViT/test_data_v3/tpsm/fake/tpsm__tpsm_id49_id52_0007__000.png,1,tpsm,oth:tpsm:id49_id52_0007,oth,id49_id52_0007
/Users/pickapu/Documents/PyCharmMiscProject/deepfake-ViT/test_data_v3/StyleGANXL/fake/StyleGANXL__StyleGANXL_Fake_from_Celeb-real_id3_0001__seed23728.png,1,StyleGANXL,efs:StyleGANXL:Fake_from_Celeb-real:id3_0001,efs,Fake_from_Celeb-real:id3_0001
/Users/pickapu/Documents/PyCharmMiscProject/deepfake-ViT/test_data_v3/sd2.1/fake/sd2.1__sd2.1_00232__YouTube-real_00126_454.png,1,sd2.1,oth:sd2.1:00232,oth,00232
/Users/pickapu/Documents/PyCharmMiscProject/deepfake-ViT/test_data_v3/stargan/fake/stargan__stargan_1640__1640.jpg,1,stargan,fe:stargan:1640,fe,1640
/Users/pickapu/Documents/PyCharmMiscProject/deepfake-ViT/test_data_v3/SiT/fake/SiT__SiT_id44_0002__23599.png,1,SiT,oth:SiT:id44_0002,oth,id44_0002
/Users/pickapu/Documents/PyCharmMiscProject/deepfake-ViT/test_data_v3/MRAA/fake/MRAA__MRAA_id16_id9_0007__000.png,1,MRAA,oth:MRAA:id16_id9_0007,oth,id16_id9_0007
/Users/pickapu/Documents/PyCharmMiscProject/deepfake-ViT/test_data_v3/ddim/fake/ddim__ddim_00131__Celeb-real_id13_0004_169.png,1,ddim,efs:ddim:00131,efs,00131
/Users/pickapu/Documents/PyCharmMiscProject/deepfake-ViT/test_data_v3/CollabDiff/fake/CollabDiff__CollabDiff_700__000000_x_0.png,1,CollabDiff,efs:CollabDiff:700,efs,700
/Users/pickapu/Documents/PyCharmMiscProject/deepfake-ViT/test_data_v3/lia/fake/lia__lia_id16_id2_0006__000.png,1,lia,oth:lia:id16_id2_0006,oth,id16_id2_0006
/Users/pickapu/Documents/PyCharmMiscProject/deepfake-ViT/test_data_v3/sd2.1/fake/sd2.1__sd2.1_id4_0008__Celeb-real_id40_0000_010.png,1,sd2.1,oth:sd2.1:id4_0008,oth,id4_0008
/Users/pickapu/Documents/PyCharmMiscProject/deepfake-ViT/test_data_v3/danet/fake/danet__danet_id27_id21_0002__000.png,1,danet,oth:danet:id27_id21_0002,oth,id27_id21_0002
/Users/pickapu/Documents/PyCharmMiscProject/deepfake-ViT/test_data_v3/mcnet/fake/mcnet__mcnet_id22_id21_0005__000.png,1,mcnet,oth:mcnet:id22_id21_0005,oth,id22_id21_0005
/Users/pickapu/Documents/PyCharmMiscProject/deepfake-ViT/test_data_v3/ddim/fake/ddim__ddim_id48_0004__Celeb-real_id58_0008_024.png,1,ddim,efs:ddim:id48_0004,efs,id48_0004
/Users/pickapu/Documents/PyCharmMiscProject/deepfake-ViT/test_data_v3/StyleGANXL/fake/StyleGANXL__StyleGANXL_Fake_from_Celeb-real_id41_0005__seed21782.png,1,StyleGANXL,efs:StyleGANXL:Fake_from_Celeb-real:id41_0005,efs,Fake_from_Celeb-real:id41_0005
/Users/pickapu/Documents/PyCharmMiscProject/deepfake-ViT/test_data_v3/StyleGAN3/fake/StyleGAN3__StyleGAN3_Fake_from_Youtube-real_00239__seed23290.png,1,StyleGAN3,efs:StyleGAN3:Fake_from_Youtube-real:00239,efs,Fake_from_Youtube-real:00239
/Users/pickapu/Documents/PyCharmMiscProject/deepfake-ViT/test_data_v3/mobileswap/fake/mobileswap__mobileswap_id21_id27_0002__000.png,1,mobileswap,oth:mobileswap:id21_id27_0002,oth,id21_id27_0002
/Users/pickapu/Documents/PyCharmMiscProject/deepfake-ViT/test_data_v3/VQGAN/fake/VQGAN__VQGAN_00182__015115.png,1,VQGAN,efs:VQGAN:00182,efs,00182
/Users/pickapu/Documents/PyCharmMiscProject/deepfake-ViT/test_data_v3/starganv2/fake/starganv2__starganv2_210__210.jpg,1,starganv2,fe:starganv2:210,fe,210
/Users/pickapu/Documents/PyCharmMiscProject/deepfake-ViT/test_data_v3/facevid2vid/fake/facevid2vid__facevid2vid_id25_id19_0008__000.png,1,facevid2vid,oth:facevid2vid:id25_id19_0008,oth,id25_id19_0008
/Users/pickapu/Documents/PyCharmMiscProject/deepfake-ViT/test_data_v3/blendface/fake/blendface__blendface_id27_id21_0002__000.png,1,blendface,oth:blendface:id27_id21_0002,oth,id27_id21_0002
/Users/pickapu/Documents/PyCharmMiscProject/deepfake-ViT/test_data_v3/blendface/fake/blendface__blendface_id9_id16_0000__000.png,1,blendface,oth:blendface:id9_id16_0000,oth,id9_id16_0000
/Users/pickapu/Documents/PyCharmMiscProject/deepfake-ViT/test_data_v3/ddim/fake/ddim__ddim_id58_0001__YouTube-real_00288_347.png,1,ddim,efs:ddim:id58_0001,efs,id58_0001
/Users/pickapu/Documents/PyCharmMiscProject/deepfake-ViT/test_data_v3/SiT/fake/SiT__SiT_id7_0005__25837.png,1,SiT,oth:SiT:id7_0005,oth,id7_0005
/Users/pickapu/Documents/PyCharmMiscProject/deepfake-ViT/test_data_v3/styleclip/fake/styleclip__styleclip_01344__01344.jpg,1,styleclip,fe:styleclip:01344,fe,01344
/Users/pickapu/Documents/PyCharmMiscProject/deepfake-ViT/test_data_v3/StyleGANXL/fake/StyleGANXL__StyleGANXL_ff_376__seed18810.png,1,StyleGANXL,efs:StyleGANXL:ff:376,efs,ff:376
/Users/pickapu/Documents/PyCharmMiscProject/deepfake-ViT/test_data_v3/CollabDiff/fake/CollabDiff__CollabDiff_412__000000_x_0.png,1,CollabDiff,efs:CollabDiff:412,efs,412
/Users/pickapu/Documents/PyCharmMiscProject/deepfake-ViT/test_data_v3/blendface/fake/blendface__blendface_id4_id37_0000__000.png,1,blendface,oth:blendface:id4_id37_0000,oth,id4_id37_0000
/Users/pickapu/Documents/PyCharmMiscProject/deepfake-ViT/test_data_v3/styleclip/fake/styleclip__styleclip_02509__02509.jpg,1,styleclip,fe:styleclip:02509,fe,02509
/Users/pickapu/Documents/PyCharmMiscProject/deepfake-ViT/test_data_v3/SiT/fake/SiT__SiT_id57_0001__23124.png,1,SiT,oth:SiT:id57_0001,oth,id57_0001
/Users/pickapu/Documents/PyCharmMiscProject/deepfake-ViT/test_data_v3/simswap/fake/simswap__simswap_id6_id3_0005__000.png,1,simswap,oth:simswap:id6_id3_0005,oth,id6_id3_0005
/Users/pickapu/Documents/PyCharmMiscProject/deepfake-ViT/test_data_v3/uniface/fake/uniface__uniface_id51_id57_0000__000.png,1,uniface,oth:uniface:id51_id57_0000,oth,id51_id57_0000
/Users/pickapu/Documents/PyCharmMiscProject/deepfake-ViT/test_data_v3/DiT/fake/DiT__DiT_id36_0007__20387.png,1,DiT,oth:DiT:id36_0007,oth,id36_0007
/Users/pickapu/Documents/PyCharmMiscProject/deepfake-ViT/test_data_v3/VQGAN/fake/VQGAN__VQGAN_id5_0005__014832.png,1,VQGAN,efs:VQGAN:id5_0005,efs,id5_0005
/Users/pickapu/Documents/PyCharmMiscProject/deepfake-ViT/test_data_v3/MRAA/fake/MRAA__MRAA_id37_id38_0009__000.png,1,MRAA,oth:MRAA:id37_id38_0009,oth,id37_id38_0009
/Users/pickapu/Documents/PyCharmMiscProject/deepfake-ViT/test_data_v3/whichfaceisreal/fake/whichfaceisreal__whichfaceisreal_452.png__452.png,1,whichfaceisreal,efs:whichfaceisreal:452.png,efs,452.png
/Users/pickapu/Documents/PyCharmMiscProject/deepfake-ViT/test_data_v3/styleclip/fake/styleclip__styleclip_00276__00276.jpg,1,styleclip,fe:styleclip:00276,fe,00276
/Users/pickapu/Documents/PyCharmMiscProject/deepfake-ViT/test_data_v3/stargan/fake/stargan__stargan_152__152.jpg,1,stargan,fe:stargan:152,fe,152
/Users/pickapu/Documents/PyCharmMiscProject/deepfake-ViT/test_data_v3/sd2.1/fake/sd2.1__sd2.1_id28_0000__YouTube-real_00093_175.png,1,sd2.1,oth:sd2.1:id28_0000,oth,id28_0000
/Users/pickapu/Documents/PyCharmMiscProject/deepfake-ViT/test_data_v3/DiT/fake/DiT__DiT_id16_0000__24925.png,1,DiT,oth:DiT:id16_0000,oth,id16_0000
